OLT,Tarjeta,Puerto,Clientes afectados,Hora de afectación,CLASE
mbo-bvis-olt-03,4,5,9,3:08 a.m.,Masivo
mbo-lpue-olt-00,7,14,3,10:48 pm,Puntual
flc-coro-olt-04,2,1,4,7:32 pm,Puntual
mbo-call-olt-05,3,0,3,11:35 a.m.,Puntual
mbo-pomo-olt-00,6,6,29,6:35 pm,Masivo
mbo-lpue-olt-00,6,6,19,1:17 pm,Masivo
flc-coro-olt-01,3,9,3,12:08 pm,Puntual
mbo-lpue-olt-00,4,10,16,8:56 pm,Masivo
flc-coro-olt-04,4,9,16,2:28 pm,Masivo
flc-coro-olt-01,5,13,5,5:49 a.m.,Puntual
mbo-pomo-olt-00,6,1,3,9:13 pm,Puntual
flc-coro-olt-04,5,1,3,8:24 pm,Puntual
mbo-bvis-olt-05,6,0,4,2:14 pm,Puntual
mbo-call-olt-05,7,9,3,9:05 am,Puntual
mbo-pomo-olt-00,7,7,15,5:55 am,Masivo
mbo-bvis-olt-05,2,14,34,10:41 p.m.,Masivo
mbo-pomo-olt-00,7,7,3,6:28 a.m.,Puntual
flc-coro-olt-01,2,0,57,3:14 pm,Masivo
mbo-bvis-olt-05,7,11,2,3:28 pm,Puntual
mbo-call-olt-05,1,10,9,10:03 am,Masivo
flc-coro-olt-04,7,7,6,8:17 pm,Masivo
mbo-call-olt-02,5,8,5,11:49 pm,Puntual
mbo-lpue-olt-00,3,13,3,10:56 pm,Puntual
mbo-bvis-olt-03,5,3,4,10:48 pm,Puntual
mbo-call-olt-05,3,0,6,12:43 am,Masivo
mbo-bvis-olt-05,4,0,4,2:38 am,Puntual
mbo-call-olt-02,5,2,10,11:15 p.m.,Masivo
mbo-call-olt-05,4,14,14,12:10 pm,Masivo
mbo-bvis-olt-05,2,15,41,12:13 pm,Masivo
mbo-bvis-olt-01,2,13,9,2:02 am,Masivo
mbo-bvis-olt-01,1,4,34,5:50 am,Masivo
mbo-call-olt-05,7,15,4,6:49 a.m.,Puntual
mbo-bvis-olt-01,5,4,5,12:41 pm,Puntual
mbo-bvis-olt-05,4,8,2,2:37 pm,Puntual
mbo-bvis-olt-05,3,9,15,5:44 am,Masivo
mbo-call-olt-05,2,13,5,7:41 a.m.,Puntual
mbo-call-olt-02,7,11,2,10:17 am,Puntual
flc-coro-olt-04,2,1,1,10:57 am,Puntual
mbo-pomo-olt-00,3,1,7,8:19 pm,Masivo
mbo-call-olt-02,7,15,20,12:57 am,Masivo
flc-coro-olt-01,7,5,32,7:47 am,Masivo
mbo-bvis-olt-05,4,14,18,8:24 pm,Masivo
flc-coro-olt-01,4,8,8,12:56 pm,Masivo
mbo-call-olt-02,5,0,2,9:37 a.m.,Puntual
mbo-pomo-olt-00,5,8,11,5:12 pm,Masivo
mbo-pomo-olt-00,6,8,24,5:03 am,Masivo
mbo-bvis-olt-03,6,15,18,11:54 am,Masivo
mbo-pomo-olt-00,1,12,56,10:13 p.m.,Masivo
flc-coro-olt-04,2,8,24,4:32 pm,Masivo
mbo-pomo-olt-00,5,4,11,9:27 a.m.,Masivo
mbo-call-olt-02,4,12,7,5:51 am,Masivo
mbo-bvis-olt-03,3,14,1,2:36 pm,Puntual
mbo-call-olt-02,4,8,2,10:07 am,Puntual
mbo-call-olt-02,2,10,30,8:43 pm,Masivo
mbo-lpue-olt-00,6,3,10,7:33 p.m.,Masivo
mbo-bvis-olt-03,4,1,5,8:43 p.m.,Puntual
mbo-call-olt-02,1,12,32,12:04 pm,Masivo
mbo-lpue-olt-00,2,5,38,3:53 pm,Masivo
mbo-lpue-olt-00,6,13,2,4:04 p.m.,Puntual
mbo-bvis-olt-03,3,3,24,5:30 pm,Masivo
flc-coro-olt-01,6,5,1,6:44 am,Puntual
flc-coro-olt-04,7,2,15,1:08 pm,Masivo
mbo-pomo-olt-00,1,5,30,4:41 am,Masivo
flc-coro-olt-04,2,1,14,11:31 pm,Masivo
mbo-pomo-olt-00,3,1,3,12:32 pm,Puntual
mbo-call-olt-02,1,12,24,10:02 pm,Masivo
mbo-bvis-olt-05,6,8,22,5:29 pm,Masivo
mbo-bvis-olt-03,1,6,4,7:49 am,Puntual
flc-coro-olt-04,2,2,6,5:11 pm,Masivo
flc-coro-olt-04,5,12,7,1:28 a.m.,Masivo
mbo-call-olt-02,1,10,3,11:02 pm,Puntual
flc-coro-olt-01,7,0,16,7:25 am,Masivo
mbo-lpue-olt-00,1,7,2,8:56 p.m.,Puntual
mbo-call-olt-02,6,13,2,7:29 p.m.,Puntual
mbo-bvis-olt-01,6,5,3,11:08 am,Puntual
mbo-lpue-olt-00,3,6,9,4:25 am,Masivo
mbo-bvis-olt-03,6,8,2,8:01 a.m.,Puntual
mbo-lpue-olt-00,4,4,16,5:02 a.m.,Masivo
flc-coro-olt-01,2,14,3,10:45 p.m.,Puntual
mbo-lpue-olt-00,2,0,15,9:03 p.m.,Masivo
mbo-bvis-olt-03,5,11,51,12:24 pm,Masivo
flc-coro-olt-01,5,9,6,12:50 pm,Masivo
flc-coro-olt-04,2,6,3,10:12 am,Puntual
flc-coro-olt-04,7,14,5,5:38 am,Puntual
mbo-pomo-olt-00,5,4,26,1:43 pm,Masivo
mbo-lpue-olt-00,3,2,23,12:34 pm,Masivo
flc-coro-olt-04,6,11,3,9:54 pm,Puntual
mbo-bvis-olt-03,2,12,10,12:22 a.m.,Masivo
mbo-call-olt-05,5,8,11,5:08 am,Masivo
mbo-call-olt-05,2,0,4,6:01 pm,Puntual
flc-coro-olt-01,4,0,11,4:53 am,Masivo
flc-coro-olt-04,1,15,4,6:40 pm,Puntual
flc-coro-olt-04,6,0,6,12:43 a.m.,Masivo
mbo-call-olt-05,2,2,14,8:30 pm,Masivo
flc-coro-olt-04,1,11,44,3:43 p.m.,Masivo
mbo-lpue-olt-00,5,5,2,5:46 am,Puntual
mbo-bvis-olt-01,1,9,18,2:01 pm,Masivo
mbo-bvis-olt-05,6,10,3,2:31 am,Puntual
mbo-pomo-olt-00,2,2,8,7:17 pm,Masivo
flc-coro-olt-01,4,7,4,10:12 p.m.,Puntual
mbo-bvis-olt-01,7,13,13,10:45 pm,Masivo
mbo-call-olt-05,5,13,15,11:04 p.m.,Masivo
flc-coro-olt-04,2,9,5,10:57 am,Puntual
mbo-pomo-olt-00,6,1,9,6:41 p.m.,Masivo
flc-coro-olt-04,5,13,50,4:43 am,Masivo
mbo-bvis-olt-03,3,8,5,5:09 p.m.,Puntual
mbo-bvis-olt-03,1,2,21,1:55 am,Masivo
mbo-pomo-olt-00,7,4,1,7:42 am,Puntual
mbo-pomo-olt-00,6,9,44,8:24 pm,Masivo
mbo-call-olt-05,3,7,4,9:33 p.m.,Puntual
mbo-pomo-olt-00,2,15,12,8:36 am,Masivo
mbo-lpue-olt-00,4,1,11,5:29 pm,Masivo
flc-coro-olt-04,5,5,5,3:06 p.m.,Puntual
mbo-bvis-olt-01,1,11,4,10:05 pm,Puntual
mbo-call-olt-02,5,4,28,11:53 am,Masivo
mbo-pomo-olt-00,7,12,17,9:54 pm,Masivo
flc-coro-olt-01,2,9,2,6:02 pm,Puntual
mbo-bvis-olt-03,5,8,11,5:12 p.m.,Masivo
mbo-lpue-olt-00,1,11,3,3:02 a.m.,Puntual
mbo-call-olt-02,2,4,2,6:25 pm,Puntual
mbo-bvis-olt-01,5,1,8,3:56 p.m.,Masivo
mbo-call-olt-02,4,15,19,10:23 pm,Masivo
mbo-pomo-olt-00,6,4,4,12:52 am,Puntual
mbo-call-olt-05,2,14,12,6:05 am,Masivo
mbo-bvis-olt-03,6,11,64,4:42 pm,Masivo
mbo-bvis-olt-03,2,3,3,2:59 am,Puntual
mbo-call-olt-05,4,14,14,8:57 p.m.,Masivo
flc-coro-olt-04,6,10,3,4:48 a.m.,Puntual
mbo-bvis-olt-05,3,15,25,9:41 am,Masivo
mbo-lpue-olt-00,1,6,6,7:11 pm,Masivo
mbo-bvis-olt-03,3,5,11,12:48 a.m.,Masivo
flc-coro-olt-01,5,13,22,2:35 p.m.,Masivo
mbo-bvis-olt-03,4,1,28,4:01 p.m.,Masivo
mbo-call-olt-02,3,11,22,5:10 pm,Masivo
mbo-bvis-olt-03,2,10,5,3:38 a.m.,Puntual
mbo-bvis-olt-03,5,10,32,9:33 pm,Masivo
mbo-bvis-olt-05,5,12,49,5:25 pm,Masivo
mbo-bvis-olt-05,3,4,31,2:17 am,Masivo
mbo-bvis-olt-01,3,6,16,11:20 am,Masivo
flc-coro-olt-04,4,10,14,3:35 pm,Masivo
flc-coro-olt-01,1,6,22,9:39 am,Masivo
mbo-bvis-olt-03,3,15,43,7:51 am,Masivo
mbo-bvis-olt-03,7,14,8,2:45 a.m.,Masivo
mbo-lpue-olt-00,3,4,52,9:43 am,Masivo
mbo-bvis-olt-05,6,11,2,4:21 pm,Puntual
flc-coro-olt-01,2,14,13,9:52 pm,Masivo
mbo-bvis-olt-01,7,8,13,2:58 p.m.,Masivo
flc-coro-olt-04,7,3,1,12:29 pm,Puntual
mbo-call-olt-05,6,10,6,10:49 am,Masivo
flc-coro-olt-04,6,2,5,12:42 pm,Puntual
mbo-call-olt-02,5,14,54,4:59 a.m.,Masivo
mbo-bvis-olt-03,1,3,15,5:29 p.m.,Masivo
mbo-bvis-olt-01,2,4,13,2:07 pm,Masivo
mbo-call-olt-02,4,12,15,10:33 am,Masivo
flc-coro-olt-01,7,5,2,1:56 p.m.,Puntual
mbo-call-olt-05,4,2,24,7:46 am,Masivo
mbo-bvis-olt-05,3,1,2,10:08 pm,Puntual
mbo-bvis-olt-01,3,13,13,1:50 pm,Masivo
mbo-bvis-olt-01,4,12,24,11:19 am,Masivo
mbo-bvis-olt-03,3,3,32,11:39 am,Masivo
mbo-pomo-olt-00,1,15,12,8:24 am,Masivo
mbo-bvis-olt-01,6,4,32,3:18 pm,Masivo
mbo-lpue-olt-00,3,3,3,10:04 p.m.,Puntual
mbo-call-olt-05,5,13,5,6:10 am,Puntual
mbo-call-olt-05,3,10,19,7:14 a.m.,Masivo
mbo-lpue-olt-00,2,12,2,10:07 am,Puntual
mbo-lpue-olt-00,1,14,4,1:18 pm,Puntual
mbo-lpue-olt-00,2,11,2,6:22 am,Puntual
mbo-call-olt-05,2,2,31,7:26 p.m.,Masivo
flc-coro-olt-04,5,7,1,6:39 a.m.,Puntual
mbo-call-olt-05,1,15,61,4:31 pm,Masivo
mbo-pomo-olt-00,1,9,4,1:25 a.m.,Puntual
mbo-bvis-olt-03,1,3,15,11:26 pm,Masivo
mbo-call-olt-02,1,13,6,9:18 p.m.,Masivo
flc-coro-olt-04,1,1,2,4:49 a.m.,Puntual
mbo-bvis-olt-05,5,1,33,7:41 p.m.,Masivo
mbo-call-olt-02,3,0,1,7:28 pm,Puntual
mbo-bvis-olt-03,2,12,3,2:38 am,Puntual
mbo-pomo-olt-00,1,3,3,1:59 pm,Puntual
mbo-pomo-olt-00,7,9,6,8:40 am,Masivo
mbo-bvis-olt-05,3,8,5,8:32 pm,Puntual
flc-coro-olt-04,3,13,9,7:18 pm,Masivo
mbo-lpue-olt-00,2,10,30,8:36 pm,Masivo
flc-coro-olt-04,5,6,4,3:18 am,Puntual
mbo-pomo-olt-00,4,14,15,11:32 am,Masivo
mbo-call-olt-05,4,11,13,2:46 pm,Masivo
mbo-bvis-olt-03,3,9,5,7:15 p.m.,Puntual
mbo-bvis-olt-05,6,6,18,8:22 pm,Masivo
mbo-bvis-olt-03,6,12,29,1:06 pm,Masivo
flc-coro-olt-01,2,14,1,12:25 a.m.,Puntual
flc-coro-olt-01,4,6,29,10:31 pm,Masivo
flc-coro-olt-04,3,14,5,9:11 am,Puntual
mbo-pomo-olt-00,5,7,5,11:07 pm,Puntual
mbo-pomo-olt-00,4,0,2,4:04 am,Puntual
mbo-lpue-olt-00,3,9,2,12:41 p.m.,Puntual
mbo-lpue-olt-00,3,12,26,4:27 am,Masivo
mbo-lpue-olt-00,1,9,61,3:52 pm,Masivo
mbo-call-olt-05,5,7,3,6:04 am,Puntual
mbo-call-olt-02,1,3,5,1:48 am,Puntual
mbo-bvis-olt-01,2,3,15,6:25 a.m.,Masivo
mbo-call-olt-02,1,3,54,2:04 am,Masivo
mbo-bvis-olt-03,7,5,34,9:21 am,Masivo
mbo-call-olt-02,1,6,10,2:14 pm,Masivo
mbo-call-olt-05,7,5,2,7:12 am,Puntual
mbo-bvis-olt-03,4,0,19,12:27 am,Masivo
mbo-call-olt-02,6,11,3,1:32 a.m.,Puntual
mbo-call-olt-05,3,7,2,12:42 a.m.,Puntual
mbo-bvis-olt-01,7,12,8,7:22 p.m.,Masivo
mbo-call-olt-02,5,9,5,5:32 p.m.,Puntual
mbo-call-olt-05,1,14,15,8:42 pm,Masivo
mbo-lpue-olt-00,7,10,26,4:17 am,Masivo
mbo-pomo-olt-00,5,12,3,12:49 a.m.,Puntual
mbo-lpue-olt-00,6,6,1,10:52 a.m.,Puntual
mbo-pomo-olt-00,6,5,4,7:29 a.m.,Puntual
mbo-bvis-olt-05,1,5,8,6:25 pm,Masivo
mbo-bvis-olt-05,2,4,10,5:15 am,Masivo
mbo-bvis-olt-05,1,5,2,4:12 a.m.,Puntual
mbo-bvis-olt-01,4,11,32,7:38 a.m.,Masivo
mbo-lpue-olt-00,7,8,45,12:32 p.m.,Masivo
mbo-pomo-olt-00,3,9,58,5:25 am,Masivo
mbo-call-olt-05,2,8,5,5:47 am,Puntual
mbo-bvis-olt-03,1,14,24,1:00 am,Masivo
mbo-call-olt-05,5,9,1,2:48 a.m.,Puntual
mbo-bvis-olt-03,2,7,2,5:37 am,Puntual
flc-coro-olt-01,7,9,34,3:01 am,Masivo
mbo-call-olt-05,2,8,9,2:48 p.m.,Masivo
mbo-call-olt-02,7,12,11,4:05 am,Masivo
mbo-call-olt-02,1,9,2,4:45 a.m.,Puntual
flc-coro-olt-04,7,7,9,4:49 pm,Masivo
mbo-lpue-olt-00,2,7,21,4:37 a.m.,Masivo
mbo-bvis-olt-03,5,15,28,3:41 pm,Masivo
mbo-bvis-olt-03,6,0,1,12:23 p.m.,Puntual
mbo-lpue-olt-00,2,9,11,7:17 p.m.,Masivo
mbo-bvis-olt-01,7,10,3,9:26 am,Puntual
flc-coro-olt-04,6,4,4,12:40 am,Puntual
mbo-bvis-olt-01,7,3,26,5:07 am,Masivo
mbo-bvis-olt-01,5,1,5,4:27 pm,Puntual
mbo-bvis-olt-01,7,7,54,11:09 p.m.,Masivo
mbo-lpue-olt-00,1,2,3,2:16 pm,Puntual
mbo-bvis-olt-01,3,3,5,2:54 pm,Puntual
mbo-call-olt-02,2,11,3,5:28 am,Puntual
mbo-bvis-olt-05,3,6,31,7:57 a.m.,Masivo
flc-coro-olt-01,7,9,13,10:05 p.m.,Masivo
mbo-bvis-olt-03,5,8,25,10:13 am,Masivo
mbo-bvis-olt-03,2,1,23,9:21 pm,Masivo
flc-coro-olt-01,7,2,55,7:53 am,Masivo
mbo-lpue-olt-00,6,3,44,5:05 pm,Masivo
mbo-call-olt-05,4,9,29,10:25 pm,Masivo
mbo-lpue-olt-00,7,0,12,10:38 am,Masivo
mbo-bvis-olt-03,3,6,4,10:11 pm,Puntual
mbo-bvis-olt-03,2,1,7,6:34 am,Masivo
flc-coro-olt-01,3,4,30,11:13 pm,Masivo
mbo-bvis-olt-01,2,14,10,12:21 pm,Masivo
mbo-lpue-olt-00,7,0,13,3:50 am,Masivo
mbo-pomo-olt-00,1,2,5,5:22 a.m.,Puntual
flc-coro-olt-01,6,11,13,8:47 a.m.,Masivo
mbo-call-olt-02,7,1,4,1:06 pm,Puntual
mbo-bvis-olt-03,3,0,5,12:39 am,Puntual
flc-coro-olt-01,4,6,5,1:49 a.m.,Puntual
mbo-lpue-olt-00,4,4,4,7:24 p.m.,Puntual
mbo-bvis-olt-03,5,0,5,5:12 am,Puntual
mbo-call-olt-05,2,5,2,5:20 am,Puntual
flc-coro-olt-01,3,15,4,1:40 am,Puntual
flc-coro-olt-04,5,4,7,9:09 pm,Masivo
mbo-bvis-olt-03,3,14,2,1:52 am,Puntual
mbo-lpue-olt-00,2,2,26,5:54 pm,Masivo
mbo-bvis-olt-05,7,11,5,10:58 pm,Puntual
mbo-pomo-olt-00,7,6,11,9:08 pm,Masivo
mbo-bvis-olt-01,4,15,13,4:14 pm,Masivo
mbo-lpue-olt-00,7,10,12,8:51 pm,Masivo
mbo-call-olt-02,7,9,15,6:01 pm,Masivo
mbo-call-olt-02,1,8,28,11:24 am,Masivo
mbo-bvis-olt-05,4,13,27,3:12 am,Masivo
mbo-bvis-olt-01,5,12,30,4:33 p.m.,Masivo
flc-coro-olt-04,6,12,28,2:50 am,Masivo
mbo-bvis-olt-05,1,8,4,1:57 a.m.,Puntual
mbo-bvis-olt-05,5,13,33,8:33 p.m.,Masivo
mbo-bvis-olt-03,2,8,11,1:34 am,Masivo
mbo-call-olt-02,1,1,3,11:37 pm,Puntual
mbo-bvis-olt-03,5,15,31,1:02 pm,Masivo
mbo-pomo-olt-00,2,2,47,4:41 p.m.,Masivo
mbo-bvis-olt-01,4,6,1,10:55 p.m.,Puntual
flc-coro-olt-04,6,4,5,12:58 a.m.,Puntual
flc-coro-olt-04,2,1,34,10:05 am,Masivo
mbo-lpue-olt-00,7,2,15,6:54 pm,Masivo
mbo-bvis-olt-05,3,9,1,9:47 pm,Puntual
mbo-pomo-olt-00,2,5,5,1:48 pm,Puntual
mbo-call-olt-02,2,12,11,7:18 am,Masivo
flc-coro-olt-04,6,6,3,10:02 am,Puntual
mbo-pomo-olt-00,3,8,28,11:17 a.m.,Masivo
mbo-call-olt-05,7,0,21,5:38 pm,Masivo
mbo-call-olt-05,5,10,14,12:08 am,Masivo
mbo-bvis-olt-03,5,6,2,8:51 pm,Puntual
mbo-call-olt-02,2,7,27,7:11 p.m.,Masivo
mbo-lpue-olt-00,3,11,5,4:04 a.m.,Puntual
flc-coro-olt-04,3,13,24,4:02 am,Masivo
mbo-bvis-olt-05,7,2,22,6:10 am,Masivo
mbo-bvis-olt-05,6,3,33,6:56 am,Masivo
flc-coro-olt-04,4,9,5,9:29 p.m.,Puntual
mbo-bvis-olt-01,5,5,19,12:03 pm,Masivo
mbo-lpue-olt-00,6,9,52,5:04 pm,Masivo
mbo-pomo-olt-00,1,15,3,8:00 pm,Puntual
mbo-bvis-olt-01,5,6,30,5:26 pm,Masivo
mbo-bvis-olt-01,6,12,5,2:27 a.m.,Puntual
mbo-bvis-olt-03,5,13,6,6:28 pm,Masivo
mbo-call-olt-05,4,3,2,9:17 am,Puntual
mbo-bvis-olt-01,1,7,22,3:11 am,Masivo
mbo-bvis-olt-01,4,4,5,1:12 pm,Puntual
flc-coro-olt-01,7,0,7,1:40 p.m.,Masivo
mbo-bvis-olt-03,1,3,31,3:01 am,Masivo
mbo-call-olt-02,2,2,8,10:36 p.m.,Masivo
flc-coro-olt-01,6,8,10,5:44 a.m.,Masivo
flc-coro-olt-01,1,7,30,3:15 am,Masivo
flc-coro-olt-04,7,0,3,9:47 am,Puntual
mbo-call-olt-05,7,10,7,8:23 am,Masivo
mbo-bvis-olt-01,4,5,4,3:34 a.m.,Puntual
mbo-call-olt-05,5,8,1,9:21 am,Puntual
mbo-lpue-olt-00,1,6,5,6:35 pm,Puntual
flc-coro-olt-04,6,3,42,7:10 pm,Masivo
mbo-call-olt-02,1,12,6,4:54 a.m.,Masivo
mbo-call-olt-05,3,0,3,4:57 am,Puntual
mbo-bvis-olt-05,5,11,3,12:45 pm,Puntual
mbo-lpue-olt-00,6,1,12,2:28 pm,Masivo
mbo-bvis-olt-03,6,11,57,5:34 pm,Masivo
mbo-call-olt-02,2,4,11,8:47 a.m.,Masivo
mbo-lpue-olt-00,4,11,3,7:53 am,Puntual
flc-coro-olt-04,2,10,11,7:14 a.m.,Masivo
flc-coro-olt-01,6,15,8,6:59 pm,Masivo
flc-coro-olt-01,5,4,3,3:30 pm,Puntual
flc-coro-olt-04,1,7,23,5:41 pm,Masivo
mbo-pomo-olt-00,1,5,6,1:40 pm,Masivo
flc-coro-olt-01,5,7,4,7:42 am,Puntual
mbo-bvis-olt-03,6,1,2,9:15 pm,Puntual
mbo-bvis-olt-03,7,2,20,1:09 pm,Masivo
mbo-bvis-olt-05,1,5,11,2:48 pm,Masivo
mbo-bvis-olt-01,7,11,9,3:31 am,Masivo
mbo-pomo-olt-00,1,12,8,3:50 p.m.,Masivo
mbo-call-olt-02,1,9,3,8:01 pm,Puntual
flc-coro-olt-01,4,2,52,7:23 am,Masivo
mbo-bvis-olt-03,4,5,42,6:22 pm,Masivo
flc-coro-olt-04,3,5,7,10:01 a.m.,Masivo
flc-coro-olt-01,2,1,30,10:37 a.m.,Masivo
mbo-bvis-olt-01,5,6,13,11:30 pm,Masivo
flc-coro-olt-04,5,11,2,4:50 p.m.,Puntual
mbo-lpue-olt-00,5,1,25,9:39 am,Masivo
mbo-lpue-olt-00,3,5,2,1:25 pm,Puntual
flc-coro-olt-01,4,0,3,11:28 p.m.,Puntual
mbo-bvis-olt-01,6,2,20,2:02 p.m.,Masivo
mbo-pomo-olt-00,7,1,6,4:57 pm,Masivo
flc-coro-olt-01,7,6,27,3:13 p.m.,Masivo
mbo-bvis-olt-03,6,13,33,1:24 am,Masivo
mbo-call-olt-05,3,3,9,5:47 p.m.,Masivo
flc-coro-olt-01,6,7,64,7:00 am,Masivo
flc-coro-olt-01,5,5,10,2:52 am,Masivo
flc-coro-olt-04,2,11,5,5:02 am,Puntual
mbo-call-olt-05,1,9,6,6:53 pm,Masivo
mbo-bvis-olt-03,7,3,2,11:25 am,Puntual
flc-coro-olt-01,4,4,30,7:17 am,Masivo
flc-coro-olt-04,4,12,1,1:08 am,Puntual
mbo-bvis-olt-01,3,12,40,7:37 am,Masivo
flc-coro-olt-01,4,14,61,4:22 pm,Masivo
mbo-call-olt-05,5,14,4,8:20 pm,Puntual
mbo-bvis-olt-05,7,8,23,4:56 am,Masivo
mbo-call-olt-05,6,6,13,6:00 a.m.,Masivo
mbo-lpue-olt-00,5,15,1,9:20 p.m.,Puntual
mbo-bvis-olt-03,3,9,26,5:26 a.m.,Masivo
mbo-call-olt-02,5,13,15,12:41 am,Masivo
flc-coro-olt-01,6,13,3,4:58 a.m.,Puntual
mbo-call-olt-05,2,8,5,8:05 am,Puntual
mbo-call-olt-02,3,6,5,9:54 am,Puntual
flc-coro-olt-04,2,15,24,4:43 am,Masivo
mbo-bvis-olt-05,1,11,1,3:35 a.m.,Puntual
mbo-bvis-olt-03,2,0,64,8:27 am,Masivo
mbo-call-olt-05,1,15,4,5:44 am,Puntual
mbo-call-olt-02,1,11,4,2:16 am,Puntual
mbo-bvis-olt-05,2,7,2,10:58 p.m.,Puntual
mbo-lpue-olt-00,3,3,5,9:39 pm,Puntual
mbo-bvis-olt-03,6,2,41,3:57 am,Masivo
mbo-bvis-olt-03,5,15,5,12:51 pm,Puntual
mbo-lpue-olt-00,5,13,2,2:02 pm,Puntual
flc-coro-olt-01,6,12,12,1:11 pm,Masivo
mbo-lpue-olt-00,7,6,5,8:38 am,Puntual
mbo-bvis-olt-03,7,11,16,11:11 p.m.,Masivo
mbo-bvis-olt-03,1,2,2,3:01 am,Puntual
mbo-call-olt-02,1,7,5,7:55 pm,Puntual
mbo-bvis-olt-05,3,5,1,1:45 am,Puntual
mbo-lpue-olt-00,4,4,11,1:21 pm,Masivo
mbo-bvis-olt-05,2,3,13,12:22 pm,Masivo
mbo-lpue-olt-00,1,7,28,9:29 pm,Masivo
flc-coro-olt-04,5,7,5,12:04 am,Puntual
mbo-bvis-olt-03,3,11,11,8:08 a.m.,Masivo
mbo-call-olt-02,2,0,30,12:20 am,Masivo
mbo-bvis-olt-05,3,8,5,3:10 pm,Puntual
mbo-lpue-olt-00,2,13,6,6:04 a.m.,Masivo
mbo-pomo-olt-00,2,4,2,11:34 pm,Puntual
flc-coro-olt-04,6,3,1,3:26 a.m.,Puntual
mbo-call-olt-05,1,5,1,12:48 pm,Puntual
flc-coro-olt-01,3,5,7,4:01 pm,Masivo
mbo-bvis-olt-05,3,1,21,1:23 a.m.,Masivo
mbo-call-olt-02,6,7,51,5:30 am,Masivo
mbo-call-olt-05,5,6,27,1:32 pm,Masivo
mbo-pomo-olt-00,5,15,8,1:38 a.m.,Masivo
flc-coro-olt-01,7,0,18,10:29 pm,Masivo
mbo-pomo-olt-00,1,4,5,11:45 am,Puntual
mbo-call-olt-05,1,15,5,11:36 pm,Puntual
flc-coro-olt-01,4,11,45,7:50 a.m.,Masivo
mbo-pomo-olt-00,6,5,3,12:27 p.m.,Puntual
mbo-call-olt-02,5,3,4,6:59 pm,Puntual
mbo-lpue-olt-00,2,1,5,2:30 pm,Puntual
mbo-bvis-olt-03,3,12,2,11:10 p.m.,Puntual
mbo-lpue-olt-00,1,13,10,12:22 am,Masivo
mbo-call-olt-05,3,3,9,2:56 am,Masivo
mbo-bvis-olt-05,3,0,9,11:01 a.m.,Masivo
mbo-bvis-olt-03,4,6,7,7:39 a.m.,Masivo
flc-coro-olt-04,5,1,3,1:40 p.m.,Puntual
mbo-call-olt-02,1,12,1,2:26 pm,Puntual
flc-coro-olt-04,3,1,36,12:34 am,Masivo
flc-coro-olt-01,1,8,13,8:01 pm,Masivo
mbo-bvis-olt-03,2,4,5,6:38 am,Puntual
flc-coro-olt-04,4,1,14,2:36 am,Masivo
flc-coro-olt-04,2,10,33,7:20 a.m.,Masivo
mbo-pomo-olt-00,1,8,5,4:57 am,Puntual
mbo-lpue-olt-00,7,8,45,2:04 a.m.,Masivo
mbo-pomo-olt-00,1,0,20,12:51 pm,Masivo
mbo-bvis-olt-03,5,10,15,6:44 pm,Masivo
